cycle,time_point,kinetic_energy,potential_energy,total_energy,energy_rate_of_change,cumulative_energy_loss
1,0.0000000000,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.0505050505,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.1010101010,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.1515151515,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.2020202020,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.2525252525,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.3030303030,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.3535353535,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.4040404040,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.4545454545,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.5050505051,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.5555555556,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.6060606061,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.6565656566,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.7070707071,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.7575757576,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.8080808081,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.8585858586,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.9090909091,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,0.9595959596,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,1.0101010101,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,1.0606060606,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,1.0677451690,602.9186186611,401.9457457741,1004.8643644351,0.0000000000,1.1426574698
1,1.1182502195,603.6042131430,402.4028087620,1006.0070219049,22.6246179018,1.1426574698
1,1.1687552700,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.2192603206,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.2697653711,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.3202704216,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.3707754721,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.4212805226,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.4717855731,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.5222906236,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.5727956741,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.6233007246,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.6738057751,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.7243108256,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.7748158761,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.8253209266,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.8758259771,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.9263310276,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,1.9768360781,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.0273411286,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.0778461791,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.1283512296,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.1788562801,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.2293613307,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.2798663812,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.3303714317,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.3808764822,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.4313815327,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.4818865832,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.5323916337,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.5828966842,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.6334017347,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.6839067852,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.7344118357,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.7849168862,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.8354219367,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.8859269872,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.9364320377,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,2.9869370882,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,3.0374421387,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,3.0879471892,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,3.1384522397,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,3.1889572902,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,3.2394623408,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,3.2899673913,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
1,3.3121406374,603.6042131430,402.4028087620,1006.0070219049,0.0000000000,1.1426574698
2,3.3121406374,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.3626456879,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.4131507384,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.4636557889,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.5141608394,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.5646658899,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.6151709404,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.6656759909,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.7161810414,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.7666860920,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.8171911425,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.8472587845,599.4517280208,399.6344853472,999.0862133681,0.0000000000,2.4430326217
2,3.8977638350,600.2319531120,400.1546354080,1000.3865885200,25.7474280079,2.4430326217
2,3.9482688855,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,3.9987739360,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.0492789865,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.0997840370,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.1502890875,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.2007941380,600.2319531120,400.1546354080,1000.3865885200,-0.0000000000,2.4430326217
2,4.2512991885,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.3018042390,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.3523092895,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.4028143400,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.4533193905,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.5038244410,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.5543294916,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.6048345421,600.2319531120,400.1546354080,1000.3865885200,-0.0000000000,2.4430326217
2,4.6553395926,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.7058446431,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.7563496936,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.8068547441,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.8573597946,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.9078648451,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,4.9583698956,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.0088749461,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.0593799966,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.1098850471,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.1603900976,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.2108951481,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.2614001986,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.3119052491,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.3624102996,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.4129153501,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.4634204006,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.5139254511,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.5644305017,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.6149355522,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
2,5.6566803155,600.2319531120,400.1546354080,1000.3865885200,0.0000000000,2.4430326217
3,5.6566803155,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,5.7071853660,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,5.7576904165,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,5.8081954670,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,5.8587005175,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,5.9092055681,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,5.9597106186,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.0102156691,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.0607207196,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.1112257701,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.1617308206,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.2122358711,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.2627409216,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.3132459721,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.3637510226,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.4142560731,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.4647611236,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.5152661741,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.5657712246,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.6162762751,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.6667813256,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.7172863761,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.7677914266,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.8182964771,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.8688015276,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.9193065782,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,6.9698116287,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.0203166792,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.0708217297,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.1213267802,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.1718318307,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.2223368812,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.2728419317,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.3233469822,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.3738520327,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.4243570832,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.4748621337,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.5253671842,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.5758722347,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.6263772852,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.6768823357,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.7273873862,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.7778924367,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.8283974872,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.8704670905,601.5401260543,401.0267507029,1002.5668767571,0.0000000000,3.9770396343
3,7.9209721410,602.4605302618,401.6403535079,1004.1008837697,30.3733388488,3.9770396343
3,7.9714771915,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.0219822420,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.0724872925,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.1229923431,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.1734973936,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.2240024441,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.2745074946,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.3250125451,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
3,8.3755175956,602.4605302618,401.6403535079,1004.1008837697,0.0000000000,3.9770396343
